Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,Inf,Inf,"",Inf,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,Standard,,99.0219999999996,11.5,"1.50,81.9",32.47,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,Standard,,-140.839,2.1,"",32.47,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,Standard,,-138.056,3.7,"1.75,35.0",32.47,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,Standard,,373,6.3,"",32.47,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,Standard,,77.7740000000001,9.2,"1.66,50.8",30.5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,Standard,,239.999,58.1,"",30.5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,Standard,,Inf,16.4,"",15.7515,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,Standard,,Inf,16.4,"",12.47,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,Standard,,-35.5,1.8,"1.51,54.6",15.68,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,Standard,,-550.001000000001,0.5,"",15.68,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,Standard,,220,5,"1.80,45.4",15.68,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,Standard,,-162.193,41.26,"",15.68,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,Standard,,Inf,Inf,"",21.64,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
