Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,Inf,Inf,,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,Standard,,65.1387142560859,9.1829768135,S-LAH66,33.03602765444,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,Standard,,27.0250061416423,7.872983264717,,21.39263848112,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,Standard,,67.4762416873765,5.949147865471,S-FSL5,22.5904033968,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,Standard,,-338.972455357391,0.2989489902563,,22.67396839015,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,Standard,,69.5693074389972,4.452725438855,S-LAL56,18.35644369669,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,Standard,,19.3139548104487,6.004189859666,,12.5626041086,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,Standard,,335.903031152647,3.044536041582,S-LAL8,13.00828407641,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,Standard,,28.3036627681579,1.957326966424,,11.22556420298,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,Standard,,36.0888031738103,18.00348156278,S-TIH11,11.75480916541,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,Standard,,-62.7657282172071,0.3106764451452,,7.52084946602,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,Standard,,32.3699143994901,2.174123272851,S-LAL61,7.966529434376,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,Standard,,11.5937729581342,5.971473674241,S-BAL14,7.938674436354,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,Standard,,-37.0711503371535,0.6803186829043,,8.022239430421,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,Standard,,Inf,3.231273411847,,4.486801713216,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,Standard,,-20.5916181143897,3.338781203447,S-TIH6,6.350939549083,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,Standard,,24.6347679266337,3.12446057905,H-F1,7.186589489752,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,Standard,,128.900108514083,1.00913760369,,7.214444487774,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,Standard,,-67.7068809905539,2.263464861477,S-NBH8,8.328644408666,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,Standard,,-23.1014154448011,0.2911080600665,,8.356499406689,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,Standard,,-326.825234507931,3.85461984391,S-LAL18,10.36205926429,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,Standard,,-20.9594198986235,38.62341464772,,10.38991426232,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,Standard,,Inf,Inf,,21.43865007617,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
