Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,Inf,Inf,,Inf,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,Standard,,94.7391,7.77937,FK51,34.25,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,Standard,,-2172.606,0.29673,,34.085,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,Standard,,60.2686,11.06877,FK51,32.135,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,Standard,,252.373,0.32992,,30.92,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,Standard,,52.0363,8.40407,LACL5,28.01,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,Standard,,106.357,1.32716,,26.195,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,Standard,,174.878,5.38407,ADF455,26.18,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,Standard,,34.3907,27.53793,,21.255,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,Standard,,Inf,0.39774,,16.1058260649004,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,Standard,,544.8948,4.02731,FD4,15.945,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,Standard,,-82.859,3.02,LAC10,15.665,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,Standard,,84.3923,4.10159,,14.98,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,Standard,,121.2688,2.0283,FL5,14.825,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,Standard,,53.3638,38.18467,,14.715,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,Standard,,77.5462,7.99606,FC5,19.46,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,Standard,,-149.31,59.11712,,19.67,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,Standard,,Inf,Inf,,21.005666540008,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
