Y Field,Rel. Ill,Effective F/#
0.00000000,1.00000000,1.4893749
1.0500000,0.99870725,1.4903385
2.1000000,0.99486624,1.4932127
3.1500000,0.98996052,1.4969080
4.2000000,0.98399949,1.5014352
5.2500000,0.96883714,1.5131384
6.3000000,0.94474175,1.5323130
7.3500000,0.88973318,1.5789710
8.4000000,0.84270556,1.6224305
9.4500000,0.80586966,1.6590964
10.500000,0.75670612,1.7121445
11.550000,0.72469779,1.7495468
12.600000,0.65419739,1.8414063
13.650000,0.59457034,1.9315343
14.700000,0.56608841,1.9795292
15.750000,0.51177510,2.0819220
16.800000,0.45350754,2.2116265
17.850000,0.38956284,2.3862463
18.900000,0.30204184,2.7100074
19.950000,0.26891759,2.8720661
21.000000,0.20264804,3.3085129
