Y Field,Rel. Ill,Effective F/#
0.00000000,1.0000000,1.7810858
1.0800000,0.98673901,1.7930141
2.1600000,0.98463434,1.7949294
3.2400000,0.97889201,1.8001863
4.3200000,0.95981336,1.8179899
5.4000000,0.93633477,1.8406418
6.4800000,0.88665703,1.8915029
7.5600000,0.85386641,1.9274800
8.6400000,0.82451051,1.9614930
9.7200000,0.76412697,2.0375210
10.800000,0.73506855,2.0774039
11.880000,0.68399647,2.1535647
12.960000,0.64963490,2.2097858
14.040000,0.61661437,2.2681827
15.120000,0.53793987,2.4283875
16.200000,0.49504481,2.5314106
17.280000,0.45878867,2.6295323
18.360000,0.42452614,2.7335853
19.440000,0.34727974,3.0223526
20.520000,0.29611123,3.2730860
21.600000,0.27276223,3.4103012
