Y Field,Rel. Ill,Effective F/#
0.00000000,1.0000000,2.8553200
1.8000000,0.99844756,2.8575390
3.6000000,0.99344704,2.8647216
5.4000000,0.98417507,2.8781844
7.2000000,0.96985858,2.8993496
9.0000000,0.95040158,2.9288776
10.800000,0.92675875,2.9660020
12.600000,0.90079804,3.0084381
14.400000,0.87473707,3.0529242
16.200000,0.85036709,3.0963609
18.000000,0.82830543,3.1373252
19.800000,0.80759823,3.1772919
21.600000,0.78609047,3.2204646
23.400000,0.76155026,3.2719413
25.200000,0.73260192,3.3359595
27.000000,0.69843597,3.4165792
28.800000,0.65785508,3.5203811
30.600000,0.60930369,3.6579510
32.400000,0.55241759,3.8416787
34.200000,0.48725203,4.0905147
36.000000,0.43080623,4.3502459
