Y Field,Rel. Ill,Effective F/#
0.00000000,1.0000000,6.8122861
1.0800000,0.99995886,6.8124262
2.1600000,0.99983546,6.8128466
3.2400000,0.99371224,6.8338046
4.3200000,0.99344623,6.8347195
5.4000000,0.99269712,6.8372978
6.4800000,0.99175698,6.8405378
7.5600000,0.98872305,6.8510250
8.6400000,0.98815663,6.8529882
9.7200000,0.98148604,6.8762367
10.800000,0.97506196,6.8988511
11.880000,0.96766467,6.9251700
12.960000,0.95005291,6.9890635
14.040000,0.93128426,7.0591392
15.120000,0.92578781,7.0800635
16.200000,0.91007351,7.1409278
17.280000,0.90906886,7.1448726
18.360000,0.90191437,7.1731552
19.440000,0.90077234,7.1777009
20.520000,0.88258693,7.2512710
21.600000,0.86303999,7.3329280
