Y Field,Rel. Ill,Effective F/#
0.00000000,1.0000000,3.0155379
1.0815000,0.99967608,3.0160264
2.1630000,0.99870594,3.0174909
3.2445000,0.99709414,3.0199288
4.3260000,0.98954319,3.0314291
5.4075000,0.98651371,3.0360801
6.4890000,0.98067439,3.0451057
7.5705000,0.95889889,3.0794870
8.6520000,0.92291910,3.1389397
9.7335000,0.91235546,3.1570594
10.815000,0.89126748,3.1941901
11.896500,0.86498940,3.2423463
12.978000,0.81829659,3.3335687
14.059500,0.79246724,3.3874596
15.141000,0.76906757,3.4386070
16.222500,0.69258976,3.6234874
17.304000,0.63853144,3.7737545
18.385500,0.61894909,3.8329868
19.467000,0.56981730,3.9948178
20.548500,0.47724181,4.3651135
21.630000,0.44455628,4.5227378
