Y Field,Rel. Ill,Effective F/#
0.00000000,1.00000000,2.9185912
4.4857500,0.99928604,2.9196336
8.9715000,0.99715454,2.9227524
13.457250,0.99363643,2.9279221
17.943000,0.98878228,2.9351002
22.428750,0.97384389,2.9575262
26.914500,0.96542123,2.9703994
31.400250,0.94989841,2.9945715
35.886000,0.91130342,3.0573261
40.371750,0.86872869,3.1313469
44.857500,0.82260165,3.2179440
49.343250,0.76235553,3.3426776
53.829000,0.71389624,3.4542655
58.314750,0.67965497,3.5402100
62.800500,0.62734858,3.6848415
67.286250,0.55905578,3.9034237
71.772000,0.52642360,4.0225883
76.257750,0.48141864,4.2064121
80.743500,0.42047669,4.5009305
85.229250,0.39436257,4.6475645
89.715000,0.34139011,4.9951416
