Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,7239458.233416612,130819.68004041509,nan,12861.682062363132,0,,,,,,,,
1,Standard,,38.275,6.3,"1.66,35.9",19.24,0,,,,,,,,
2,Standard,,125.265,0.095,"1.66,35.9",19.24,0,,,,,,,,
3,Standard,,28.68,8.43,"1.69,53.4",17.26,0,,,,,,,,
4,Standard,,620.205000000001,1.645,"1.69,53.4",17.26,0,,,,,,,,
5,Standard,,16.2,7.82,"1.65,33.8",11.97,0,,,,,,,,
6,Standard,,7239458.233416612,8.46,"1.65,33.8",11.6895,0,,,,,,,,
7,Standard,,-14.46,2.035,"1.70,30.1",11.475,0,,,,,,,,
8,Standard,,-193.8,8.235,"1.70,30.1",15.36,0,,,,,,,,
9,Standard,,-22.675,0.195,"1.71,53.9",15.36,0,,,,,,,,
10,Standard,,-116.28,4.165,"1.68,55.5",16.375,0,,,,,,,,
11,Standard,,-31.785,0.095,"1.68,55.5",16.375,0,,,,,,,,
12,Standard,,77.52,3.1,"1.71,53.9",17.26,0,,,,,,,,
13,Standard,,-843.869999999997,37.5,"1.71,53.9",17.26,0,,,,,,,,
14,Standard,,7239458.233416612,130819.68004041509,"1.71,53.9",21.0,0,,,,,,,,
