Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,7239458.233416612,130819.68004041509,nan,12861.682062363132,0,,,,,,,,
1,Standard,,1248.9254,6.2,"1.65,33.7",14.03,0,,,,,,,,
2,Standard,,-31.799,1.6,"1.65,33.7",14.03,0,,,,,,,,
3,Standard,,-54.2525,0.1,"1.85,32.4",13.93,0,,,,,,,,
4,Standard,,-416.0382,1.7,"1.73,54.6",13.93,0,,,,,,,,
5,Standard,,21.6656,7.1,"1.73,54.6",13.93,0,,,,,,,,
6,Standard,,3624.4529,3.7,"1.58,41.0",13.93,0,,,,,,,,
7,Standard,,-51.691,1.7,"1.77,49.6",14.67,0,,,,,,,,
8,Standard,,97.8568999999998,0.1,"1.77,49.6",14.67,0,,,,,,,,
9,Standard,,43.4154,7.8,"1.58,41.0",16.49,0,,,,,,,,
10,Standard,,-43.405,1.7,"1.58,41.0",16.49,0,,,,,,,,
11,Standard,,-171.6744,41.21005,"1.81,22.7",16.49,0,,,,,,,,
12,Standard,,7239458.233416612,130819.68004041509,"1.81,22.7",21.6,0,,,,,,,,
