Results for:	Relative Illumination Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\CN111965793_Example01P.zmx
Title:	CN 111965793 Example 1 (Zhong Yi SpeedMaster 50mm F0.95 M)
Date:	11/7/2025 4:06:18 PM

0 message(s) in output.
Wavelength: 0.587562 µm
Field values are in Millimeters
Relative Illumination values are dimensionless.
1 series table(s) in output.

Table series: See program documentation for a discussion of Effective F/#.
         Y Field        Rel. Ill   Effective F/#
  --------------  --------------  --------------
      0.00000000      0.98156763       1.2033593
       1.0750000      0.96743910       1.2121145
       2.1500000      0.96417692       1.2141633
       3.2250000       1.0000000       1.1922174
       4.3000000      0.99211025       1.1969485
       5.3750000      0.98447991       1.2015781
       6.4500000      0.93193101       1.2349904
       7.5250000      0.88686463       1.2659798
       8.6000000      0.86113393       1.2847544
       9.6750000      0.84710184       1.2953515
       10.750000      0.81495959       1.3206490
       11.825000      0.76322675       1.3646732
       12.900000      0.69888257       1.4261110
       13.975000      0.63147800       1.5002939
       15.050000      0.59747875       1.5423901
       16.125000      0.52580801       1.6441516
       17.200000      0.48594955       1.7102510
       18.275000      0.43233168       1.8132050
       19.350000      0.32552497       2.0896006
       20.425000      0.29334200       2.2012447
       21.500000      0.24191726       2.4239409
