Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,inf,inf,BAFD7,inf,0,,,,,,,,
1,Standard,,63.4088,2.83032,BAFD7,26.605,0,,,,,,,,
2,Standard,,34.8494,7.21732,BAFD7,23.425,0,,,,,,,,
3,Standard,,147.2018,4.61696,BACED5,23.41,0,,,,,,,,
4,Standard,,42.2265,26.57292,BACED5,21.295,0,,,,,,,,
5,Standard,,68.8754,9.67481,LAC8,26.51,0,,,,,,,,
6,Standard,,-223.5271,3.30589,LAC8,26.565,0,,,,,,,,
7,Standard,,255.1425,6.52361,LAC8,26.255,0,,,,,,,,
8,Standard,,-115.7865,0.10407,LAC8,26.095,0,,,,,,,,
9,Standard,,28.18,5.24865,LAC8,21.87,0,,,,,,,,
10,Standard,,30.485,8.59286,LAC8,20.265,0,,,,,,,,
11,Standard,,inf,1.0,LAC8,15.8081503793357,0,,,,,,,,
12,Even Asphere,,84.8888,2.23042,ZNC7,18.815,0,0.0,-5.89286e-06,4.163e-09,7.5947e-13,8.0711e-15,5.9272e-18,-3.8712e-20,0.0
13,Standard,,29.2785,9.75037,ZNC7,16.89,0,,,,,,,,
14,Standard,,-34.8947,1.60884,FDS9,16.885,0,,,,,,,,
15,Standard,,40.6661,9.96389,FDS9,18.875,0,,,,,,,,
16,Standard,,-42.5426,0.18781,NBFD12,19.045,0,,,,,,,,
17,Standard,,413.2288,5.66206,LAC8,18.995,0,,,,,,,,
18,Standard,,-61.9871,0.18791,LAC8,18.935,0,,,,,,,,
19,Standard,,73.5399,5.14312,LAC8,17.37,0,,,,,,,,
20,Standard,,221.5194,37.9711778,LAC8,16.36,0,,,,,,,,
21,Standard,,inf,inf,LAC8,21.1629754112666,0,,,,,,,,
