Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,inf,inf,,inf,0,,,,,,,,
1,Standard,,74.4956799999998,1.545796,"1.64,55.4",19.43,0,,,,,,,,
2,Standard,,20.99552,10.742788,"1.64,55.4",15.98,0,,,,,,,,
3,Standard,,-63.1327199999999,11.540004,"1.66,55.0",15.85,0,,,,,,,,
4,Standard,,-44.695,0.048608,"1.66,55.0",15.85,0,,,,,,,,
5,Standard,,29.44508,2.236052,"1.74,44.8",12.31,0,,,,,,,,
6,Standard,,20.39968,6.912332,"1.74,44.8",10.82,0,,,,,,,,
7,Standard,,30.96548,8.749776,"1.74,44.8",11.4,0,,,,,,,,
8,Standard,,-21.14728,0.0,"1.74,44.8",11.4,0,,,,,,,,
9,Standard,,-21.14728,6.669292,"1.61,43.9",11.4,0,,,,,,,,
10,Standard,,158.585,4.860996,"1.61,43.9",10.325,0,,,,,,,,
11,Standard,,inf,0.0,"1.61,43.9",9.745,0,,,,,,,,
12,Standard,,131.52888,5.804036,"1.72,50.4",9.84,0,,,,,,,,
13,Standard,,-40.9975999999999,1.71108,"1.72,50.4",9.84,0,,,,,,,,
14,Standard,,-25.13336,7.55398,"1.81,25.4",9.84,0,,,,,,,,
15,Standard,,47.0038799999999,2.002728,"1.81,25.4",9.84,0,,,,,,,,
16,Standard,,-122.39024,2.79944,"1.71,53.9",10.54,0,,,,,,,,
17,Standard,,-30.3044,0.097216,"1.71,53.9",10.54,0,,,,,,,,
18,Standard,,-708.363600000002,2.945768,"1.79,47.4",11.85,0,,,,,,,,
19,Standard,,-35.24808,35.5236,"1.79,47.4",11.85,0,,,,,,,,
20,Standard,,inf,inf,"1.79,47.4",21.6,0,,,,,,,,
