Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,Inf,Inf,,Inf,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,Standard,,14.7528605374,1.75006,BAF9,7.5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,Standard,,46.7599411002,0.0762,,7,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,Standard,,9.6570602896,2.59842,BAF9,6,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,Standard,,-40.8163265206,0.77216,SK16,6,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,Standard,,6.5963745898,1.9558,,3.7,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,Standard,,Inf,2.032,,2.08182455776536,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,Standard,,-7.4853387504,0.77216,SK4,3.5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,Standard,,67.715275923,2.28854,BAF9,5.5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,Standard,,-9.3575007414,0.0762,,5.5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,Standard,,160.7594936696,1.54432,BAF9,7,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,Standard,,-21.7633450432,16.5459546101198,,7,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,Standard,,Inf,Inf,,13.8732617400723,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
