Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,inf,inf,,inf,0,,,,,,,,
1,Standard,,21.716826264,2.9464,LAF2,11.0,0,,,,,,,,
2,Standard,,103.7158023724,0.381,LAF2,10.0,0,,,,,,,,
3,Standard,,10.2489609854,4.318,SK16,7.5,0,,,,,,,,
4,Standard,,39.6379525502,0.889,SK16,7.5,0,,,,,,,,
5,Standard,,6.3627254508,3.302,SK16,4.2,0,,,,,,,,
6,Standard,,inf,2.286,SK16,2.6475051212734,0,,,,,,,,
7,Standard,,-9.3471700788,0.889,SF8,3.7,0,,,,,,,,
8,Standard,,13.9698603,5.842,SF8,6.8,0,,,,,,,,
9,Standard,,-13.0813204972,0.254,LAF2,6.8,0,,,,,,,,
10,Standard,,31.3696430772,4.318,LAF2,8.0,0,,,,,,,,
11,Standard,,-52.0598483312,13.9708290071453,LAF2,8.0,0,,,,,,,,
12,Standard,,inf,inf,LAF2,9.16278865557296,0,,,,,,,,
