Field,Poly,0.4861,0.5876,0.6563
0.0,1.5556705,2.5802293,0.078032567,0.77243758
2.0,1.5601935,2.5900673,0.079360763,0.76420729
4.0,1.5737486,2.6188793,0.089815601,0.74019032
6.0,1.5961883,2.6645511,0.12037092,0.70243973
8.0,1.6269429,2.7235338,0.17222508,0.65447772
10.0,1.6646333,2.7908048,0.23924574,0.60141019
12.0,1.7066888,2.8598103,0.31416336,0.54992382
14.0,1.7490621,2.9223748,0.38935981,0.50776842
16.0,1.7860962,2.9685607,0.45630841,0.48209701
18.0,1.8105738,2.986454,0.50505965,0.47677795
20.0,1.8140389,2.9618723,0.52380833,0.49112827
22.0,1.7877259,2.8780676,0.49868471,0.5233406
24.0,1.7251941,2.7157978,0.41523835,0.5787764
26.0,1.6299908,2.4552774,0.27577572,0.6802172
28.0,1.5373755,2.0865334,0.27558934,0.873126
30.0,1.5621361,1.6604404,0.6895969,1.2183986
