Field,Poly,0.4861,0.5876,0.6563
0.0,0.63217519,0.77416742,0.58772154,0.50416722
1.4426667,0.63798631,0.77629354,0.59408805,0.49702591
2.8853333,0.65496708,0.78262601,0.61316697,0.47585912
4.328,0.68193368,0.79305471,0.64491181,0.44150517
5.7706667,0.7174183,0.80749193,0.68931283,0.39567641
7.2133333,0.76024151,0.82603413,0.74654782,0.34188022
8.656,0.81012078,0.8492358,0.81726783,0.28817694
10.098667,0.86833855,0.87857686,0.90306561,0.2539176
11.541333,0.93857657,0.91728924,1.0071863,0.27301831
12.984,1.0280548,0.9718394,1.1355663,0.36626525
14.426667,1.1490927,1.0544707,1.2983164,0.52813663
15.869333,1.3211461,1.1870392,1.5117893,0.7571511
17.312,1.5733706,1.405617,1.8014044,1.0668414
18.754667,1.948092,1.764704,2.2055578,1.4855585
20.197333,2.5065091,2.3418712,2.7814816,2.0593473
21.64,3.3395438,3.2483568,3.615276,2.8600674
