Field,Poly,0.4861,0.5876,0.6563
0.0,0.23460027,0.23821246,0.31797199,0.085208575
1.4426667,0.24795721,0.23625547,0.3241574,0.091623396
2.8853333,0.28442894,0.23171202,0.34292316,0.11008934
4.328,0.33715474,0.22926351,0.37492423,0.13952345
5.7706667,0.40120794,0.2384876,0.42135568,0.18002061
7.2133333,0.47505075,0.27337944,0.48413695,0.23309631
8.656,0.56040433,0.34686794,0.56617276,0.30157057
10.098667,0.66213321,0.46662601,0.67163194,0.38954372
11.541333,0.78819486,0.63791464,0.80616024,0.50241358
12.984,0.9493139,0.86723194,0.97694936,0.64683151
14.426667,1.1582088,1.1632644,1.192617,0.83055152
15.869333,1.4285437,1.5364845,1.4628915,1.0621653
17.312,1.7739411,1.9983983,1.7981104,1.3507141
18.754667,2.2072015,2.5606011,2.2085129,1.7051338
20.197333,2.739568,3.233522,2.7032466,2.1334382
21.64,3.3797164,4.0246481,3.2889246,2.6414842
