Field,Poly,0.4861,0.5876,0.6563
0.0,0.37399293,0.51388281,0.38010504,0.10515112
0.91066667,0.37609815,0.50928663,0.37592525,0.10211915
1.8213333,0.38283534,0.49670299,0.36437551,0.0948645
2.732,0.39500632,0.47943205,0.348166,0.088604765
3.6426667,0.4127744,0.4619297,0.33095526,0.089416678
4.5533333,0.4349341,0.44837001,0.31618304,0.098465546
5.464,0.45907421,0.44118956,0.30596148,0.11058818
6.3746667,0.48245775,0.44034766,0.30072888,0.11949664
7.2853333,0.50294323,0.44357211,0.29989614,0.12126864
8.196,0.51943376,0.44698394,0.30278147,0.11507031
9.1066667,0.53184847,0.44539947,0.30899926,0.10374732
10.017333,0.54106281,0.43235533,0.31826344,0.096255069
10.928,0.54954642,0.40073589,0.33014605,0.10891816
11.838667,0.56437272,0.34824118,0.34531007,0.15362871
12.749333,0.60836759,0.31373328,0.3760002,0.23955105
13.66,0.74544139,0.45681202,0.47952402,0.40080948
