Field,Poly,0.4861,0.5876,0.6563
0.0,0.99737316,1.5583897,0.61266325,0.42464701
1.44,1.0003095,1.5582082,0.61380578,0.42469942
2.88,1.0089324,1.5575478,0.61714645,0.42513309
4.32,1.0227216,1.5560864,0.62245251,0.42678397
5.76,1.0409298,1.5533741,0.62942946,0.43105939
7.2,1.0627457,1.5489677,0.63786178,0.43992891
8.64,1.0874984,1.5426292,0.64781286,0.45585443
10.08,1.114893,1.5345994,0.65988666,0.48162609
11.52,1.1452717,1.5259623,0.67554366,0.52011663
12.96,1.1798921,1.5191063,0.69743105,0.57403659
14.4,1.221199,1.5182574,0.72962255,0.64579795
15.84,1.2730309,1.5299781,0.77758921,0.73753037
17.28,1.3406685,1.5633814,0.8477345,0.85119892
18.72,1.4306129,1.6296877,0.9465374,0.98873478
20.16,1.5500482,1.7408678,1.0796667,1.1521201
21.6,1.7060896,1.9076857,1.2515031,1.3434151
